Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
BrotN,Food and drink,Noun,0.548,0.275,0.274,392
setzenV,NA,Verb,0.481,0.209,0.273,393
GedachtnisN,NA,Noun,0.571,0.299,0.272,394
rennenV,Motion,Verb,0.507,0.237,0.27,395
WortN,Speech and language,Noun,0.527,0.257,0.269,396
gutA,Emotions and values,Adjective,0.486,0.218,0.269,397
woFADV,Cognition,Interrogative (adv.),0.562,0.294,0.268,398
GluckN,NA,Noun,0.58,0.313,0.268,399
zeigenV,Sense perception,Verb,0.493,0.226,0.267,400
WahrheitN,NA,Noun,0.57,0.304,0.266,401
treibenV,NA,Verb,0.476,0.211,0.265,402
RuckenN,The body,Noun,0.496,0.231,0.264,403
AbendN,Time,Noun,0.568,0.305,0.263,404
EndeN,Spatial relations,Noun,0.555,0.292,0.262,405
BarN,Animals,Noun,0.598,0.336,0.262,406
BrettN,The house,Noun,0.764,0.502,0.262,407
gelbA,Sense perception,Adjective,0.701,0.439,0.262,408
LochN,Spatial relations,Noun,0.502,0.24,0.261,409
HemdN,Clothing and grooming,Noun,0.494,0.233,0.261,410
legenV,NA,Verb,0.486,0.226,0.261,411
HoheN,NA,Noun,0.494,0.233,0.26,412
schreienV,Speech and language,Verb,0.546,0.286,0.26,413
WundeN,The body,Noun,0.611,0.351,0.26,414
verschiedenA,NA,Adjective,0.602,0.343,0.259,415
weggehenV,Motion,Verb,0.531,0.272,0.259,416
verschwindenV,Motion,Verb,0.482,0.224,0.259,417
sammelnV,Spatial relations,Verb,0.528,0.271,0.258,418
zudeckenV,NA,Verb,0.567,0.309,0.258,419
beienV,The body,Verb,0.608,0.352,0.256,420
WolleN,Clothing and grooming,Noun,0.662,0.408,0.254,421
KralleN,The body,Noun,0.537,0.284,0.254,422
EhemannN,Kinship,Noun,0.534,0.281,0.253,423
BuchstabeN,NA,Noun,0.815,0.562,0.253,424
SchaleN,NA,Noun,0.485,0.232,0.253,425
ruckwartsADV,NA,Adverb,0.469,0.217,0.252,426
TeilN,Quantity,Noun,0.598,0.346,0.251,427
FuN,The body,Noun,0.463,0.213,0.25,428
StimmeN,Speech and language,Noun,0.483,0.233,0.25,429
MengeN,NA,Noun,0.477,0.227,0.249,430
atmenV,The body,Verb,0.594,0.344,0.249,431
AmeiseN,Animals,Noun,0.599,0.35,0.249,432
BuchtN,The physical world,Noun,0.474,0.225,0.249,433
vereinigenV,Spatial relations,Verb,0.487,0.239,0.248,434
nassA,Sense perception,Adjective,0.502,0.255,0.247,435
BundelN,NA,Noun,0.485,0.24,0.245,436
NebelN,The physical world,Noun,0.622,0.377,0.245,437
HonigN,Food and drink,Noun,0.793,0.548,0.245,438
futternV,NA,Verb,0.49,0.246,0.245,439
MannN,Kinship,Noun,0.469,0.225,0.244,440
StrichN,NA,Noun,0.51,0.266,0.244,441
KreisN,Spatial relations,Noun,0.549,0.306,0.244,442
AlterN,Time,Noun,0.622,0.379,0.243,443
fegenV,Basic actions and technology,Verb,0.474,0.233,0.241,444
LehmN,Basic actions and technology,Noun,0.503,0.262,0.241,445
bedeckenV,Spatial relations,Verb,0.516,0.275,0.241,446
NetzN,NA,Noun,0.523,0.282,0.241,447
siedenV,Food and drink,Verb,0.522,0.282,0.24,448
hinfallenV,NA,Verb,0.479,0.239,0.24,449
GeruchN,NA,Noun,0.478,0.238,0.24,450
SpitzeN,NA,Noun,0.525,0.285,0.239,451
kratzenV,Food and drink,Verb,0.5,0.261,0.239,452
erhaltenV,NA,Verb,0.538,0.3,0.238,453
blasenV,NA,Verb,0.675,0.437,0.238,454
LippeN,The body,Noun,0.484,0.246,0.238,455
SuppeN,Food and drink,Noun,0.863,0.626,0.237,456
LeiterN,The house,Noun,0.562,0.326,0.236,457
SchweinN,Animals,Noun,0.598,0.362,0.236,458
OberschenkelN,NA,Noun,0.489,0.253,0.236,459
schlagenV,NA,Verb,0.484,0.249,0.235,460
heiA,Sense perception,Adjective,0.5,0.265,0.235,461
werFPRN,Cognition,Interrogative (pronoun),0.844,0.61,0.234,462
niemalsADV,Time,Adverb,0.471,0.238,0.233,463
stechenV,NA,Verb,0.484,0.251,0.233,464
BlumeN,Agriculture and vegetation,Noun,0.671,0.439,0.232,465
GeschmackN,NA,Noun,0.721,0.49,0.232,466
wechselnV,NA,Verb,0.467,0.236,0.231,467
verteidigenV,Warfare and hunting,Verb,0.47,0.24,0.23,468
GesellschaftN,NA,Noun,0.502,0.273,0.229,469
kussenV,Emotions and values,Verb,0.521,0.294,0.227,470
sichschlagenV,NA,Verb,0.447,0.22,0.227,471
schlieenV,Spatial relations,Verb,0.453,0.227,0.227,472
SackN,NA,Noun,0.735,0.509,0.226,473
SkiN,NA,Noun,0.82,0.594,0.226,474
oftADV,Time,Adverb,0.476,0.25,0.226,475
untenADV,NA,Adverb,0.46,0.234,0.226,476
letzterA,Quantity,Adjective,0.449,0.224,0.225,477
fluchtenV,NA,Verb,0.447,0.222,0.225,478
SchuldN,Emotions and values,Noun,0.471,0.246,0.225,479
morgenADV,Time,Adverb,0.476,0.251,0.225,480
KragenN,Clothing and grooming,Noun,0.712,0.489,0.224,481
StirnN,The body,Noun,0.461,0.24,0.221,482
MusterN,NA,Noun,0.49,0.27,0.221,483
LandN,Social and political relations,Noun,0.578,0.357,0.221,484
