Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
heiA,Sense perception,Adjective,0.602,0.528,0.074,898
HoheN,NA,Noun,0.703,0.63,0.073,899
SundeN,NA,Noun,0.624,0.551,0.072,900
TischN,The house,Noun,0.523,0.451,0.072,901
BruderN,Kinship,Noun,0.548,0.477,0.071,902
faulA,The body,Adjective,0.562,0.491,0.071,903
EuleN,Animals,Noun,0.571,0.5,0.071,904
WelleN,The physical world,Noun,0.622,0.552,0.071,905
schonA,Emotions and values,Adjective,0.481,0.411,0.07,906
FarbeN,Basic actions and technology,Noun,0.635,0.566,0.069,907
MenschN,Kinship,Noun,0.66,0.593,0.067,908
dummA,Cognition,Adjective,0.565,0.498,0.067,909
argernV,NA,Verb,0.376,0.309,0.067,910
verbergenV,NA,Verb,0.504,0.438,0.066,911
BogenWaffeN,Warfare and hunting,Noun,0.652,0.588,0.064,912
BauN,NA,Noun,0.433,0.369,0.064,913
MittwochN,Time,Noun,0.6,0.537,0.063,914
versuchenV,Cognition,Verb,0.565,0.503,0.063,915
SchlangeTierN,Animals,Noun,0.644,0.583,0.061,916
MutzeN,NA,Noun,0.665,0.604,0.06,917
ArzneiN,The body,Noun,0.591,0.531,0.059,918
wahrA,Emotions and values,Adjective,0.553,0.494,0.059,919
PlatteN,NA,Noun,0.455,0.397,0.058,920
SchuldN,Emotions and values,Noun,0.622,0.564,0.058,921
tanzenV,Motion,Verb,0.472,0.415,0.057,922
BulleN,Animals,Noun,0.606,0.549,0.057,923
BesenN,Basic actions and technology,Noun,0.584,0.527,0.057,924
anfangenV,Time,Verb,0.58,0.524,0.056,925
KanteN,Spatial relations,Noun,0.464,0.409,0.054,926
schiebenV,Motion,Verb,0.485,0.433,0.051,927
liebA,NA,Adjective,0.48,0.429,0.051,928
belastigenV,NA,Verb,0.365,0.315,0.051,929
nichtADV,Miscellaneous function words,Adverb,0.549,0.501,0.048,930
RohrN,NA,Noun,0.512,0.467,0.045,931
GrubeN,NA,Noun,0.521,0.476,0.045,932
aufhebenV,Spatial relations,Verb,0.523,0.479,0.044,933
SpiegelN,Clothing and grooming,Noun,0.562,0.52,0.043,934
furchtenV,NA,Verb,0.59,0.549,0.041,935
HugelN,NA,Noun,0.496,0.456,0.04,936
GeschmackN,NA,Noun,0.629,0.593,0.036,937
atmenV,The body,Verb,0.701,0.666,0.035,938
sehrADV,NA,Adverb,0.309,0.275,0.034,939
ErzahlungN,NA,Noun,0.462,0.43,0.032,940
schwankenV,NA,Verb,0.309,0.277,0.032,941
PuppeN,NA,Noun,0.604,0.574,0.03,942
behindernV,NA,Verb,0.401,0.372,0.029,943
SchlittenN,NA,Noun,0.61,0.582,0.028,944
TonN,NA,Noun,0.376,0.349,0.027,945
SchafN,Animals,Noun,0.609,0.582,0.027,946
schwingenV,NA,Verb,0.372,0.347,0.026,947
duPRN,Kinship,Pronoun,0.491,0.465,0.025,948
BarschN,NA,Noun,0.697,0.672,0.025,949
rohA,Food and drink,Adjective,0.655,0.631,0.024,950
WolfN,Animals,Noun,0.623,0.6,0.023,951
MarchenN,NA,Noun,0.551,0.53,0.021,952
ertragenV,NA,Verb,0.55,0.531,0.019,953
SchweinN,Animals,Noun,0.63,0.611,0.019,954
SuppeN,Food and drink,Noun,0.467,0.448,0.019,955
SumpfN,The physical world,Noun,0.616,0.599,0.017,956
KameradN,NA,Noun,0.422,0.406,0.016,957
bratenV,NA,Verb,0.504,0.489,0.015,958
GeldN,Animals,Noun,0.691,0.68,0.012,959
GrabN,The body,Noun,0.571,0.56,0.011,960
