Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
DonnerN,The physical world,Noun,0.568,0.22,0.348,347
bekommenV,Possession,Verb,0.536,0.189,0.347,348
EssenN,NA,Noun,0.53,0.184,0.347,349
NabelN,The body,Noun,0.595,0.248,0.346,350
schreienV,Speech and language,Verb,0.542,0.196,0.346,351
WolleN,Clothing and grooming,Noun,0.633,0.287,0.346,352
hinfallenV,NA,Verb,0.584,0.238,0.346,353
KornN,NA,Noun,0.6,0.254,0.346,354
EisenN,Basic actions and technology,Noun,0.724,0.378,0.346,355
melkenV,Food and drink,Verb,0.717,0.372,0.345,356
BundelN,NA,Noun,0.645,0.3,0.345,357
lobenV,Emotions and values,Verb,0.63,0.287,0.344,358
SalzN,Food and drink,Noun,0.615,0.272,0.343,359
trockenA,Sense perception,Adjective,0.589,0.246,0.343,360
WunschN,NA,Noun,0.526,0.183,0.343,361
beienV,The body,Verb,0.566,0.224,0.342,362
SonntagN,Time,Noun,0.704,0.362,0.341,363
bekanntA,NA,Adjective,0.515,0.174,0.341,364
dreiNUM,Quantity,Numerical,0.651,0.31,0.34,365
endenV,Time,Verb,0.587,0.247,0.34,366
abnehmenV,NA,Verb,0.58,0.24,0.34,367
BarN,Animals,Noun,0.708,0.37,0.339,368
sofortADV,NA,Adverb,0.526,0.188,0.338,369
zuruckkommenV,Motion,Verb,0.518,0.18,0.338,370
setzenV,NA,Verb,0.474,0.137,0.337,371
RuheN,Sense perception,Noun,0.674,0.337,0.337,372
FieberN,The body,Noun,0.615,0.279,0.336,373
woFADV,Cognition,Interrogative (adv.),0.628,0.292,0.336,374
streichenV,NA,Verb,0.641,0.305,0.336,375
WurmN,Animals,Noun,0.701,0.365,0.336,376
legenV,NA,Verb,0.548,0.213,0.335,377
WolkeN,The physical world,Noun,0.694,0.359,0.335,378
OhrN,The body,Noun,0.62,0.286,0.335,379
fluchtenV,NA,Verb,0.509,0.174,0.334,380
jetztADV,Time,Adverb,0.496,0.163,0.333,381
versprechenV,Speech and language,Verb,0.654,0.322,0.332,382
KorperN,The body,Noun,0.559,0.227,0.332,383
GewichtN,NA,Noun,0.612,0.28,0.332,384
GrubeN,NA,Noun,0.622,0.291,0.331,385
SchlafN,NA,Noun,0.452,0.121,0.331,386
zeichnenV,NA,Verb,0.693,0.363,0.33,387
werdenV,Miscellaneous function words,Verb,0.55,0.222,0.329,388
badenV,The body,Verb,0.541,0.212,0.329,389
FreudeN,NA,Noun,0.621,0.292,0.329,390
fangenV,Motion,Verb,0.61,0.282,0.328,391
kraftigA,NA,Adjective,0.583,0.255,0.328,392
ReichtumN,NA,Noun,0.567,0.239,0.328,393
RingN,Clothing and grooming,Noun,0.699,0.372,0.328,394
GesichtN,The body,Noun,0.555,0.228,0.327,395
kurzA,Spatial relations,Adjective,0.504,0.178,0.327,396
weiA,Sense perception,Adjective,0.627,0.301,0.326,397
schwachA,The body,Adjective,0.607,0.282,0.325,398
EhemannN,Kinship,Noun,0.577,0.252,0.324,399
vereinigenV,Spatial relations,Verb,0.548,0.224,0.324,400
dreiigNUM,NA,Numerical,0.554,0.23,0.324,401
duPRN,Kinship,Pronoun,0.548,0.224,0.324,402
HaufenN,NA,Noun,0.557,0.234,0.323,403
SeeN,The physical world,Noun,0.715,0.392,0.323,404
messenV,Spatial relations,Verb,0.65,0.327,0.322,405
drehenV,NA,Verb,0.618,0.295,0.322,406
hauenV,NA,Verb,0.487,0.165,0.321,407
HornN,The body,Noun,0.726,0.406,0.32,408
aufhangenV,Basic actions and technology,Verb,0.509,0.189,0.32,409
schleifenV,NA,Verb,0.624,0.304,0.32,410
LautN,Sense perception,Noun,0.736,0.417,0.319,411
MontagN,Time,Noun,0.611,0.292,0.319,412
KraftN,NA,Noun,0.701,0.382,0.319,413
essenV,Food and drink,Verb,0.514,0.196,0.319,414
StimmeN,Speech and language,Noun,0.553,0.235,0.318,415
boseA,NA,Adjective,0.537,0.219,0.318,416
nacktA,The body,Adjective,0.555,0.237,0.318,417
wehenV,Motion,Verb,0.562,0.245,0.317,418
brechenV,Basic actions and technology,Verb,0.594,0.276,0.317,419
zweiNUM,Quantity,Numerical,0.674,0.358,0.317,420
sichfurchtenV,NA,Verb,0.56,0.243,0.316,421
KindN,Kinship,Noun,0.507,0.191,0.316,422
zitternV,The body,Verb,0.689,0.374,0.315,423
bedeckenV,Spatial relations,Verb,0.523,0.208,0.315,424
LeiterN,The house,Noun,0.671,0.356,0.315,425
grauA,NA,Adjective,0.598,0.283,0.315,426
leerA,Quantity,Adjective,0.604,0.29,0.314,427
weinenV,Emotions and values,Verb,0.494,0.181,0.314,428
SchwanN,NA,Noun,0.63,0.317,0.313,429
BeereN,NA,Noun,0.771,0.459,0.313,430
reichenV,NA,Verb,0.505,0.193,0.311,431
HausN,The house,Noun,0.708,0.398,0.31,432
langA,Spatial relations,Adjective,0.531,0.221,0.31,433
HolzN,The physical world,Noun,0.553,0.243,0.31,434
SpitzeN,NA,Noun,0.531,0.221,0.309,435
KieferAnatomieN,The body,Noun,0.573,0.264,0.309,436
WinkelN,Spatial relations,Noun,0.484,0.176,0.308,437
kuhlA,NA,Adjective,0.474,0.166,0.308,438
biegenV,NA,Verb,0.524,0.216,0.308,439
EhefrauN,Kinship,Noun,0.463,0.156,0.307,440
SpatenN,Agriculture and vegetation,Noun,0.717,0.41,0.307,441
erhaltenV,NA,Verb,0.534,0.228,0.306,442
bringenV,Motion,Verb,0.534,0.229,0.305,443
AstN,NA,Noun,0.58,0.275,0.304,444
GehirnN,The body,Noun,0.581,0.277,0.304,445
fremdA,NA,Adjective,0.702,0.398,0.304,446
untenADV,NA,Adverb,0.465,0.163,0.302,447
argernV,NA,Verb,0.58,0.278,0.302,448
BrotN,Food and drink,Noun,0.654,0.352,0.302,449
ertragenV,NA,Verb,0.6,0.3,0.3,450
farbenV,Clothing and grooming,Verb,0.595,0.296,0.299,451
beherrschenV,Social and political relations,Verb,0.587,0.289,0.298,452
HeimN,NA,Noun,0.501,0.203,0.297,453
WeideN,Animals,Noun,0.47,0.172,0.297,454
MondN,The physical world,Noun,0.65,0.353,0.297,455
GetreideN,Agriculture and vegetation,Noun,0.556,0.259,0.297,456
abreienV,Basic actions and technology,Verb,0.502,0.206,0.295,457
vergehenV,NA,Verb,0.516,0.221,0.295,458
sehenV,Sense perception,Verb,0.551,0.257,0.294,459
anfangenV,Time,Verb,0.555,0.261,0.294,460
HugelN,NA,Noun,0.507,0.213,0.293,461
PlatzN,NA,Noun,0.552,0.26,0.292,462
NadelN,Clothing and grooming,Noun,0.638,0.347,0.291,463
singenV,Speech and language,Verb,0.683,0.392,0.291,464
hinaufADV,Spatial relations,Adverb,0.514,0.224,0.291,465
kaumADV,NA,Adverb,0.507,0.216,0.29,466
eintretenV,Motion,Verb,0.645,0.355,0.29,467
abwischenV,Basic actions and technology,Verb,0.489,0.2,0.289,468
sicherhebenV,NA,Verb,0.501,0.212,0.289,469
EuleN,Animals,Noun,0.611,0.323,0.288,470
TagN,Time,Noun,0.508,0.22,0.288,471
FischN,Animals,Noun,0.64,0.353,0.288,472
gehenV,Motion,Verb,0.51,0.223,0.287,473
ErdeN,NA,Noun,0.561,0.274,0.287,474
ApfelN,NA,Noun,0.546,0.259,0.287,475
wasFPRN,Cognition,Interrogative (pronoun),0.68,0.394,0.287,476
hierhinADV,NA,Adverb,0.459,0.173,0.287,477
KammN,Clothing and grooming,Noun,0.651,0.366,0.286,478
kriechenV,NA,Verb,0.558,0.273,0.285,479
ArbeiterN,NA,Noun,0.529,0.244,0.285,480
schlankA,NA,Adjective,0.483,0.198,0.285,481
FalleN,Warfare and hunting,Noun,0.473,0.188,0.285,482
unterrichtenV,NA,Verb,0.625,0.342,0.283,483
fleiigA,NA,Adjective,0.511,0.228,0.283,484
dannADV,NA,Adverb,0.455,0.173,0.282,485
einsNUM,Quantity,Numerical,0.655,0.373,0.282,486
LederN,Clothing and grooming,Noun,0.692,0.41,0.282,487
leckerA,NA,Adjective,0.505,0.225,0.28,488
klingelnV,NA,Verb,0.622,0.342,0.28,489
KampfN,Warfare and hunting,Noun,0.566,0.287,0.279,490
damalsADV,NA,Adverb,0.426,0.147,0.279,491
zerstorenV,Possession,Verb,0.649,0.372,0.278,492
kleinA,Spatial relations,Adjective,0.469,0.192,0.277,493
HilfeN,Social and political relations,Noun,0.593,0.318,0.275,494
BruckeN,Motion,Noun,0.758,0.484,0.275,495
denkenV,NA,Verb,0.64,0.365,0.274,496
lehrenV,Cognition,Verb,0.492,0.218,0.274,497
scheinenV,Cognition,Verb,0.466,0.192,0.274,498
ruckwartsADV,NA,Adverb,0.443,0.168,0.274,499
EckeN,NA,Noun,0.478,0.204,0.274,500
tausendNUM,Quantity,Numerical,0.716,0.443,0.274,501
schonA,Emotions and values,Adjective,0.479,0.206,0.273,502
besuchenV,NA,Verb,0.471,0.198,0.273,503
WiegeN,NA,Noun,0.626,0.353,0.273,504
LochN,Spatial relations,Noun,0.559,0.287,0.272,505
SchaumN,The physical world,Noun,0.648,0.375,0.272,506
AbstandN,NA,Noun,0.618,0.347,0.272,507
vergebensADV,NA,Adverb,0.518,0.246,0.271,508
beginnenV,Time,Verb,0.676,0.405,0.271,509
SaatN,Agriculture and vegetation,Noun,0.543,0.273,0.27,510
schwenkenV,NA,Verb,0.562,0.292,0.27,511
nennenV,Speech and language,Verb,0.528,0.259,0.27,512
FuchsN,Animals,Noun,0.494,0.224,0.27,513
RindeN,Agriculture and vegetation,Noun,0.636,0.367,0.269,514
heuteADV,Time,Adverb,0.571,0.303,0.268,515
zuruckADV,NA,Adverb,0.443,0.176,0.267,516
fragenV,Speech and language,Verb,0.508,0.241,0.267,517
kussenV,Emotions and values,Verb,0.54,0.273,0.267,518
BlattN,Agriculture and vegetation,Noun,0.514,0.247,0.267,519
SchulterN,The body,Noun,0.491,0.224,0.267,520
brausenV,NA,Verb,0.462,0.195,0.267,521
waschenV,Basic actions and technology,Verb,0.631,0.365,0.266,522
KehleN,The body,Noun,0.485,0.219,0.266,523
HuhnN,Animals,Noun,0.561,0.296,0.266,524
kaufenV,Possession,Verb,0.547,0.283,0.264,525
GoldN,Basic actions and technology,Noun,0.689,0.424,0.264,526
LeberN,The body,Noun,0.685,0.422,0.264,527
frierenV,NA,Verb,0.602,0.339,0.263,528
klingenV,NA,Verb,0.547,0.283,0.263,529
BodenN,NA,Noun,0.571,0.307,0.263,530
hackenV,Basic actions and technology,Verb,0.477,0.215,0.262,531
ElternN,Kinship,Noun,0.59,0.328,0.262,532
ArbeitN,Basic actions and technology,Noun,0.45,0.19,0.26,533
OrtN,Spatial relations,Noun,0.579,0.319,0.26,534
