Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
kleinA,Spatial relations,Adjective,0.401,0.259,0.141,633
obenADV,Spatial relations,Adverb,0.37,0.229,0.141,634
KameradN,NA,Noun,0.433,0.293,0.141,635
ankommenV,Motion,Verb,0.384,0.244,0.141,636
verlassenV,NA,Verb,0.366,0.226,0.14,637
riechenV,Sense perception,Verb,0.414,0.274,0.14,638
ZweigN,NA,Noun,0.434,0.294,0.14,639
ElternN,Kinship,Noun,0.399,0.259,0.139,640
AugustN,NA,Noun,0.672,0.533,0.139,641
ReiheN,NA,Noun,0.518,0.38,0.138,642
dummA,Cognition,Adjective,0.469,0.332,0.137,643
reienV,NA,Verb,0.371,0.233,0.137,644
abnehmenV,NA,Verb,0.44,0.303,0.137,645
schreitenV,NA,Verb,0.357,0.221,0.136,646
FadenN,Clothing and grooming,Noun,0.51,0.374,0.136,647
hauenV,NA,Verb,0.38,0.246,0.134,648
verstehenV,NA,Verb,0.352,0.218,0.134,649
nacktA,The body,Adjective,0.416,0.282,0.134,650
spaterADV,NA,Adverb,0.373,0.24,0.132,651
jetztADV,Time,Adverb,0.359,0.227,0.132,652
RuheN,Sense perception,Noun,0.484,0.352,0.132,653
beruhmtA,NA,Adjective,0.432,0.301,0.132,654
abreienV,Basic actions and technology,Verb,0.373,0.241,0.131,655
wegenPRP,NA,Preposition,0.345,0.217,0.128,656
EntfernungN,NA,Noun,0.341,0.213,0.128,657
anzundenV,The physical world,Verb,0.367,0.24,0.128,658
andererA,Miscellaneous function words,Adjective,0.354,0.226,0.128,659
sofortADV,NA,Adverb,0.372,0.245,0.127,660
probierenV,Sense perception,Verb,0.41,0.283,0.127,661
EhefrauN,Kinship,Noun,0.362,0.235,0.127,662
suchenV,Possession,Verb,0.377,0.251,0.126,663
versteckenV,Spatial relations,Verb,0.337,0.214,0.123,664
rettenV,Possession,Verb,0.496,0.373,0.123,665
RufN,NA,Noun,0.34,0.217,0.123,666
wehenV,Motion,Verb,0.403,0.282,0.121,667
boseA,NA,Adjective,0.373,0.252,0.121,668
KissenN,The house,Noun,0.461,0.342,0.12,669
klingelnV,NA,Verb,0.45,0.331,0.119,670
BrunnenN,NA,Noun,0.518,0.401,0.117,671
schenkenV,NA,Verb,0.383,0.265,0.117,672
fahrenV,NA,Verb,0.32,0.203,0.117,673
HohleN,The physical world,Noun,0.369,0.253,0.116,674
warumFADV,Cognition,Interrogative (adv.),0.398,0.282,0.116,675
PlatzN,NA,Noun,0.333,0.217,0.116,676
sichunterhaltenV,NA,Verb,0.386,0.27,0.115,677
hierhinADV,NA,Adverb,0.343,0.23,0.113,678
steigenV,NA,Verb,0.36,0.247,0.113,679
dorthinADV,NA,Adverb,0.366,0.253,0.113,680
glanzenV,NA,Verb,0.376,0.263,0.113,681
reifenV,NA,Verb,0.334,0.221,0.113,682
MoorN,NA,Noun,0.342,0.23,0.113,683
arbeitenV,NA,Verb,0.384,0.272,0.112,684
zuruckADV,NA,Adverb,0.358,0.246,0.112,685
wiegenV,NA,Verb,0.346,0.235,0.111,686
HaufenN,NA,Noun,0.432,0.322,0.111,687
ZeitN,Time,Noun,0.453,0.342,0.111,688
sichbewegenV,NA,Verb,0.393,0.283,0.11,689
GewichtN,NA,Noun,0.38,0.27,0.11,690
LarmN,NA,Noun,0.382,0.272,0.11,691
StaatN,NA,Noun,0.562,0.453,0.109,692
RuderN,Motion,Noun,0.45,0.342,0.108,693
klugA,Emotions and values,Adjective,0.432,0.325,0.107,694
aufgehenSonneV,Motion,Verb,0.354,0.246,0.107,695
hinaufADV,Spatial relations,Adverb,0.384,0.278,0.106,696
BauN,NA,Noun,0.329,0.223,0.106,697
OfenN,The house,Noun,0.479,0.373,0.106,698
WangeN,The body,Noun,0.353,0.248,0.105,699
LederN,Clothing and grooming,Noun,0.397,0.292,0.105,700
sinkenV,NA,Verb,0.326,0.222,0.104,701
schiebenV,Motion,Verb,0.397,0.293,0.103,702
BettN,The house,Noun,0.495,0.392,0.103,703
SeptemberN,NA,Noun,0.72,0.617,0.103,704
OrtN,Spatial relations,Noun,0.375,0.273,0.103,705
KuckuckN,NA,Noun,0.514,0.412,0.102,706
TanteN,Kinship,Noun,0.418,0.316,0.102,707
HeimN,NA,Noun,0.369,0.269,0.101,708
einwenigADV,NA,Adverb,0.362,0.262,0.101,709
SundeN,NA,Noun,0.645,0.545,0.1,710
klopfenV,NA,Verb,0.353,0.253,0.1,711
armA,Possession,Adjective,0.369,0.269,0.1,712
schwenkenV,NA,Verb,0.411,0.311,0.1,713
schuttenV,Basic actions and technology,Verb,0.383,0.284,0.1,714
liebenV,Emotions and values,Verb,0.431,0.331,0.099,715
BusenN,The body,Noun,0.323,0.224,0.099,716
geradeausADV,NA,Adverb,0.331,0.232,0.099,717
StuhlN,The house,Noun,0.552,0.454,0.099,718
fuhlenV,NA,Verb,0.398,0.3,0.098,719
wartenV,NA,Verb,0.378,0.281,0.098,720
vorherADV,Spatial relations,Adverb,0.358,0.261,0.097,721
schwankenV,NA,Verb,0.353,0.256,0.096,722
bewahrenV,Possession,Verb,0.35,0.254,0.096,723
ergreifenV,NA,Verb,0.382,0.287,0.095,724
ScheibeN,NA,Noun,0.377,0.282,0.095,725
lassenV,NA,Verb,0.301,0.206,0.095,726
FehlerN,Emotions and values,Noun,0.477,0.383,0.093,727
GroeN,NA,Noun,0.333,0.24,0.093,728
faulA,The body,Adjective,0.391,0.298,0.093,729
NabelN,The body,Noun,0.398,0.306,0.092,730
AnhoheN,NA,Noun,0.35,0.258,0.092,731
aufhebenV,Spatial relations,Verb,0.345,0.253,0.092,732
SchulterN,The body,Noun,0.345,0.254,0.091,733
fallenlassenV,NA,Verb,0.342,0.25,0.091,734
GeschenkN,NA,Noun,0.389,0.298,0.091,735
schleifenV,NA,Verb,0.378,0.287,0.091,736
danachADV,NA,Adverb,0.338,0.249,0.09,737
reichA,Possession,Adjective,0.668,0.579,0.09,738
besitzenV,Possession,Verb,0.343,0.254,0.089,739
redenV,NA,Verb,0.299,0.212,0.087,740
kaumADV,NA,Adverb,0.37,0.283,0.087,741
RedeN,Speech and language,Noun,0.347,0.261,0.086,742
druckenV,Basic actions and technology,Verb,0.294,0.208,0.085,743
hinabADV,Spatial relations,Adverb,0.309,0.224,0.085,744
FunkeN,NA,Noun,0.503,0.418,0.085,745
HechtN,NA,Noun,0.526,0.441,0.085,746
larmenV,NA,Verb,0.354,0.27,0.084,747
HakenN,Spatial relations,Noun,0.429,0.345,0.084,748
kraftigA,NA,Adjective,0.366,0.283,0.083,749
scheinenV,Cognition,Verb,0.347,0.264,0.083,750
herstellenV,NA,Verb,0.33,0.247,0.083,751
kriechenV,NA,Verb,0.345,0.263,0.082,752
wiederADV,Time,Adverb,0.318,0.237,0.081,753
schonA,Emotions and values,Adjective,0.344,0.263,0.081,754
SchlussN,Time,Noun,0.267,0.186,0.081,755
StaubN,The physical world,Noun,0.436,0.356,0.081,756
SehneN,The body,Noun,0.412,0.332,0.08,757
LeineN,NA,Noun,0.302,0.222,0.08,758
ausziehenV,NA,Verb,0.319,0.239,0.08,759
StuckN,Quantity,Noun,0.402,0.323,0.08,760
GromutterN,Kinship,Noun,0.389,0.31,0.079,761
GrenzeN,NA,Noun,0.41,0.331,0.078,762
OktoberN,NA,Noun,0.637,0.559,0.078,763
GipfelN,NA,Noun,0.331,0.253,0.078,764
strickenV,NA,Verb,0.35,0.273,0.077,765
PfadN,Motion,Noun,0.329,0.252,0.077,766
FalleN,Warfare and hunting,Noun,0.319,0.242,0.076,767
geschlossenA,NA,Adjective,0.367,0.291,0.076,768
GegendN,NA,Noun,0.327,0.251,0.076,769
taubA,The body,Adjective,0.643,0.567,0.076,770
wendenV,NA,Verb,0.313,0.237,0.076,771
EnteN,Animals,Noun,0.47,0.397,0.074,772
werfenV,Motion,Verb,0.313,0.24,0.073,773
SpiegelN,Clothing and grooming,Noun,0.579,0.506,0.073,774
behindernV,NA,Verb,0.279,0.207,0.072,775
EssenN,NA,Noun,0.303,0.232,0.072,776
FarbeN,Basic actions and technology,Noun,0.476,0.404,0.071,777
ziehenV,Basic actions and technology,Verb,0.368,0.298,0.07,778
WeideBaumN,NA,Noun,0.342,0.272,0.069,779
genesenV,NA,Verb,0.294,0.225,0.069,780
durchPRP,Miscellaneous function words,Preposition,0.29,0.221,0.069,781
AbhangN,The physical world,Noun,0.292,0.223,0.069,782
aufhorenV,NA,Verb,0.383,0.315,0.068,783
zunehmenV,NA,Verb,0.296,0.228,0.068,784
alleinADV,Quantity,Adverb,0.316,0.248,0.067,785
nebenPRP,NA,Preposition,0.294,0.226,0.067,786
ArbeiterN,NA,Noun,0.455,0.388,0.067,787
